Date,Unnamed: 2,Score,Unnamed: 4,Venue
25 May,Turkey,3–0,Slovakia,Turkey
29 May,Portugal,3–0,Slovakia,Portugal
1 Jun,Portugal,1–3,Turkey,Portugal
5 Jun,Turkey,3–0,Portugal,Turkey
8 Jun,Slovakia,2–3,Portugal,Slovakia
11 Jun,Slovakia,0–3,Turkey,Slovakia
25 May,Denmark,2–3,Spain,Denmark
25 May,Croatia,1–3,Ukraine,Croatia
26 May,Ukraine,3–1,Croatia,Croatia
28 May,Ukraine,3–1,Spain,Spain
28 May,Croatia,3–0,Denmark,Croatia
29 May,Spain,0–3,Ukraine,Spain
1 Jun,Croatia,3–1,Spain,Croatia
3 Jun,Ukraine,3–2,Denmark,Denmark
4 Jun,Spain,2–3,Croatia,Spain
4 Jun,Denmark,2–3,Ukraine,Denmark
8 Jun,Denmark,0–3,Croatia,Denmark
11 Jun,Spain,3–1,Denmark,Spain
25 May,Estonia,1–3,Czech Republic,Estonia
25 May,Belgium,3–0,Latvia,Belgium
28 May,Latvia,2–3,Estonia,Latvia
28 May,Czech Republic,3–0,Belgium,Czech Republic
1 Jun,Estonia,3–1,Belgium,Estonia
1 Jun,Latvia,0–3,Czech Republic,Latvia
4 Jun,Czech Republic,3–0,Latvia,Czech Republic
5 Jun,Belgium,0–3,Estonia,Belgium
8 Jun,Estonia,3–1,Latvia,Estonia
8 Jun,Belgium,1–3,Czech Republic,Belgium
11 Jun*,Czech Republic,3–0,Estonia,Czech Republic
11 Jun,Latvia,0–3,Belgium,Latvia
28 May,Finland,3–0,Hungary,Finland
12 Jun,Hungary,1–3,Finland,Hungary
24 May,Albania,1–3,Romania,Albania
25 May,North Macedonia,3–0,Bosnia and Herzegovina,North Macedonia
28 May,Romania,3–2,North Macedonia,Romania
28 May,Bosnia and Herzegovina,3–2,Albania,Bosnia and Herzegovina
1 Jun,Romania,3–0,Bosnia and Herzegovina,Romania
1 Jun,North Macedonia,1–3,Albania,North Macedonia
4 Jun,Bosnia and Herzegovina,1–3,Romania,Bosnia and Herzegovina
4 Jun,Albania,3–1,North Macedonia,Albania
8 Jun,Albania,3–0,Bosnia and Herzegovina,Albania
8 Jun,North Macedonia,3–1,Romania,North Macedonia
11 Jun,Bosnia and Herzegovina,0–3,North Macedonia,Bosnia and Herzegovina
12 Jun,Romania,3–0,Albania,Romania
18 Jun,Finland,3–1,North Macedonia,Hungary
18 Jun,Romania,3–0,Hungary,Hungary
19 Jun,North Macedonia,3–2,Hungary,Hungary
19 Jun,Finland,2–3,Romania,Hungary
18 Jun,Czech Republic,3–2,Ukraine,Croatia
18 Jun,Turkey,3–1,Croatia,Croatia
19 Jun,Croatia,3–2,Ukraine,Croatia
19 Jun,Turkey,1–3,Czech Republic,Croatia
