Date,Unnamed: 2,Score,Unnamed: 4,Venue
1 Sep,Argentina,3–0,Colombia,Brazil
1 Sep,Peru,0–3,Brazil,Brazil
2 Sep,Chile,3–0,Peru,Brazil
2 Sep,Brazil,3–0,Colombia,Brazil
3 Sep,Peru,0–3,Argentina,Brazil
3 Sep,Chile,0–3,Brazil,Brazil
4 Sep,Argentina,3–1,Chile,Brazil
4 Sep,Colombia,3–1,Peru,Brazil
5 Sep,Brazil,3–1,Argentina,Brazil
5 Sep,Colombia,1–3,Chile,Brazil
